customer_id,order_date,order_status,delivery_date,shipping_method
335,2026-01-06 00:00:00,Pending,2026-01-07,Standard
880,2026-01-13 00:00:00,Confirmed,2026-01-13,Same Day
511,2026-01-03 00:00:00,Cancelled,2026-01-08,Express
100,2026-01-06 00:00:00,Shipped,2026-01-06,Same Day
384,2026-01-28 00:00:00,Delivered,2026-02-02,Express
724,2026-01-19 00:00:00,Pending,2026-01-19,Pickup
153,2026-01-28 00:00:00,Delivered,2026-02-02,Express
40,2026-01-27 00:00:00,Delivered,2026-02-01,Standard
958,2026-01-18 00:00:00,Delivered,2026-01-21,Standard
531,2026-01-10 00:00:00,Pending,2026-01-15,Express
198,2026-01-06 00:00:00,Delivered,2026-01-06,Pickup
961,2026-01-20 00:00:00,Pending,2026-01-20,Same Day
803,2026-01-15 00:00:00,Delivered,2026-01-15,Pickup
253,2026-01-15 00:00:00,Delivered,2026-01-18,Standard
193,2026-01-12 00:00:00,Pending,2026-01-12,Pickup
61,2026-01-26 00:00:00,Shipped,2026-01-26,Same Day
94,2026-01-16 00:00:00,Delivered,2026-01-21,Standard
776,2026-01-22 00:00:00,Delivered,2026-01-22,Pickup
329,2026-01-18 00:00:00,Out for Delivery,2026-01-18,Same Day
967,2026-01-05 00:00:00,Shipped,2026-01-08,Express
387,2026-01-21 00:00:00,Shipped,2026-01-21,Pickup
107,2026-01-03 00:00:00,Shipped,2026-01-03,Pickup
314,2026-01-11 00:00:00,Out for Delivery,2026-01-11,Pickup
790,2026-01-16 00:00:00,Returned,2026-01-16,Same Day
970,2026-01-22 00:00:00,Delivered,2026-01-24,Standard
757,2026-01-03 00:00:00,Confirmed,2026-01-06,Express
395,2026-01-02 00:00:00,Shipped,2026-01-05,Standard
757,2026-01-07 00:00:00,Confirmed,2026-01-11,Standard
380,2026-01-17 00:00:00,Shipped,2026-01-22,Express
469,2026-01-22 00:00:00,Delivered,2026-01-23,Express
75,2026-01-06 00:00:00,Delivered,2026-01-06,Same Day
656,2026-01-23 00:00:00,Confirmed,2026-01-28,Express
211,2026-01-20 00:00:00,Pending,2026-01-20,Pickup
5,2026-01-23 00:00:00,Pending,2026-01-23,Same Day
182,2026-01-08 00:00:00,Delivered,2026-01-08,Same Day
940,2026-01-13 00:00:00,Delivered,2026-01-13,Same Day
614,2026-01-27 00:00:00,Shipped,2026-01-29,Express
904,2026-01-08 00:00:00,Out for Delivery,2026-01-08,Same Day
210,2026-01-14 00:00:00,Delivered,2026-01-14,Same Day
420,2026-01-21 00:00:00,Delivered,2026-01-21,Same Day
387,2026-01-23 00:00:00,Pending,2026-01-23,Pickup
260,2026-01-09 00:00:00,Delivered,2026-01-13,Express
43,2026-01-20 00:00:00,Pending,2026-01-20,Pickup
73,2026-01-23 00:00:00,Delivered,2026-01-25,Express
69,2026-01-21 00:00:00,Pending,2026-01-25,Express
979,2026-01-06 00:00:00,Shipped,2026-01-09,Express
292,2026-01-22 00:00:00,Delivered,2026-01-22,Pickup
112,2026-01-18 00:00:00,Confirmed,2026-01-18,Same Day
569,2026-01-25 00:00:00,Pending,2026-01-26,Express
37,2026-01-28 00:00:00,Shipped,2026-02-02,Express
39,2026-01-16 00:00:00,Shipped,2026-01-18,Standard
248,2026-01-27 00:00:00,Confirmed,2026-01-28,Standard
757,2026-01-14 00:00:00,Out for Delivery,2026-01-14,Pickup
786,2026-01-05 00:00:00,Shipped,2026-01-10,Standard
45,2026-01-07 00:00:00,Delivered,2026-01-07,Same Day
881,2026-01-19 00:00:00,Pending,2026-01-22,Express
474,2026-01-09 00:00:00,Delivered,2026-01-09,Same Day
390,2026-01-07 00:00:00,Delivered,2026-01-11,Standard
189,2026-01-05 00:00:00,Delivered,2026-01-07,Standard
26,2026-01-21 00:00:00,Pending,2026-01-21,Pickup
542,2026-01-28 00:00:00,Shipped,2026-02-02,Express
988,2026-01-10 00:00:00,Out for Delivery,2026-01-15,Express
531,2026-01-11 00:00:00,Pending,2026-01-15,Standard
380,2026-01-18 00:00:00,Pending,2026-01-21,Express
7,2026-01-02 00:00:00,Pending,2026-01-04,Standard
788,2026-01-13 00:00:00,Pending,2026-01-17,Standard
578,2026-01-19 00:00:00,Pending,2026-01-20,Express
960,2026-01-18 00:00:00,Pending,2026-01-18,Pickup
703,2026-01-19 00:00:00,Out for Delivery,2026-01-19,Same Day
628,2026-01-20 00:00:00,Confirmed,2026-01-24,Express
491,2026-01-09 00:00:00,Confirmed,2026-01-09,Pickup
230,2026-01-05 00:00:00,Shipped,2026-01-05,Same Day
264,2026-01-05 00:00:00,Confirmed,2026-01-09,Express
825,2026-01-06 00:00:00,Confirmed,2026-01-10,Standard
421,2026-01-10 00:00:00,Pending,2026-01-10,Pickup
129,2026-01-23 00:00:00,Delivered,2026-01-27,Express
432,2026-01-27 00:00:00,Out for Delivery,2026-01-31,Express
455,2026-01-14 00:00:00,Shipped,2026-01-14,Pickup
334,2026-01-13 00:00:00,Shipped,2026-01-13,Same Day
223,2026-01-22 00:00:00,Confirmed,2026-01-24,Express
373,2026-01-23 00:00:00,Pending,2026-01-28,Express
384,2026-01-15 00:00:00,Shipped,2026-01-15,Pickup
145,2026-01-21 00:00:00,Confirmed,2026-01-21,Pickup
308,2026-01-16 00:00:00,Pending,2026-01-16,Pickup
53,2026-01-27 00:00:00,Cancelled,2026-01-27,Pickup
960,2026-01-07 00:00:00,Confirmed,2026-01-11,Express
25,2026-01-17 00:00:00,Shipped,2026-01-17,Pickup
764,2026-01-23 00:00:00,Confirmed,2026-01-26,Express
589,2026-01-22 00:00:00,Out for Delivery,2026-01-26,Express
325,2026-01-26 00:00:00,Delivered,2026-01-30,Express
324,2026-01-15 00:00:00,Confirmed,2026-01-19,Express
806,2026-01-20 00:00:00,Delivered,2026-01-21,Standard
340,2026-01-03 00:00:00,Pending,2026-01-04,Standard
208,2026-01-28 00:00:00,Pending,2026-01-28,Same Day
861,2026-01-24 00:00:00,Pending,2026-01-27,Express
598,2026-01-03 00:00:00,Confirmed,2026-01-03,Same Day
721,2026-01-27 00:00:00,Shipped,2026-01-27,Same Day
164,2026-01-06 00:00:00,Confirmed,2026-01-11,Standard
933,2026-01-05 00:00:00,Pending,2026-01-10,Standard
717,2026-01-20 00:00:00,Shipped,2026-01-20,Pickup
680,2026-01-09 00:00:00,Delivered,2026-01-10,Express
139,2026-01-05 00:00:00,Delivered,2026-01-06,Standard
175,2026-01-13 00:00:00,Shipped,2026-01-13,Pickup
954,2026-01-25 00:00:00,Pending,2026-01-25,Same Day
916,2026-01-15 00:00:00,Out for Delivery,2026-01-19,Express
907,2026-01-01 00:00:00,Cancelled,2026-01-01,Same Day
71,2026-01-11 00:00:00,Returned,2026-01-11,Same Day
694,2026-01-06 00:00:00,Pending,2026-01-06,Same Day
985,2026-01-13 00:00:00,Delivered,2026-01-15,Standard
618,2026-01-21 00:00:00,Confirmed,2026-01-24,Standard
174,2026-01-26 00:00:00,Shipped,2026-01-26,Pickup
287,2026-01-12 00:00:00,Delivered,2026-01-17,Express
327,2026-01-17 00:00:00,Delivered,2026-01-21,Standard
270,2026-01-06 00:00:00,Pending,2026-01-09,Express
42,2026-01-15 00:00:00,Returned,2026-01-15,Same Day
676,2026-01-09 00:00:00,Delivered,2026-01-09,Pickup
893,2026-01-03 00:00:00,Confirmed,2026-01-05,Standard
390,2026-01-20 00:00:00,Pending,2026-01-23,Standard
398,2026-01-07 00:00:00,Delivered,2026-01-07,Pickup
714,2026-01-02 00:00:00,Delivered,2026-01-02,Same Day
417,2026-01-13 00:00:00,Confirmed,2026-01-13,Pickup
737,2026-01-23 00:00:00,Confirmed,2026-01-23,Same Day
289,2026-01-09 00:00:00,Out for Delivery,2026-01-09,Pickup
941,2026-01-09 00:00:00,Pending,2026-01-09,Pickup
883,2026-01-22 00:00:00,Pending,2026-01-22,Same Day
826,2026-01-17 00:00:00,Delivered,2026-01-19,Standard
383,2026-01-25 00:00:00,Pending,2026-01-27,Standard
885,2026-01-03 00:00:00,Pending,2026-01-04,Express
892,2026-01-03 00:00:00,Pending,2026-01-06,Standard
647,2026-01-20 00:00:00,Pending,2026-01-20,Pickup
125,2026-01-28 00:00:00,Confirmed,2026-02-02,Standard
191,2026-01-02 00:00:00,Delivered,2026-01-03,Express
444,2026-01-03 00:00:00,Delivered,2026-01-04,Standard
735,2026-01-26 00:00:00,Delivered,2026-01-27,Express
838,2026-01-03 00:00:00,Confirmed,2026-01-07,Express
620,2026-01-07 00:00:00,Delivered,2026-01-07,Pickup
750,2026-01-23 00:00:00,Pending,2026-01-23,Same Day
190,2026-01-22 00:00:00,Out for Delivery,2026-01-26,Standard
270,2026-01-17 00:00:00,Pending,2026-01-19,Express
720,2026-01-05 00:00:00,Delivered,2026-01-06,Express
775,2026-01-25 00:00:00,Pending,2026-01-28,Express
616,2026-01-08 00:00:00,Pending,2026-01-08,Same Day
224,2026-01-14 00:00:00,Shipped,2026-01-14,Same Day
754,2026-01-14 00:00:00,Confirmed,2026-01-14,Same Day
289,2026-01-08 00:00:00,Shipped,2026-01-08,Same Day
506,2026-01-25 00:00:00,Pending,2026-01-26,Standard
774,2026-01-12 00:00:00,Delivered,2026-01-17,Standard
13,2026-01-27 00:00:00,Shipped,2026-01-27,Pickup
603,2026-01-24 00:00:00,Delivered,2026-01-24,Same Day
715,2026-01-25 00:00:00,Delivered,2026-01-25,Same Day
269,2026-01-22 00:00:00,Out for Delivery,2026-01-27,Standard
367,2026-01-24 00:00:00,Delivered,2026-01-24,Pickup
512,2026-01-24 00:00:00,Delivered,2026-01-24,Same Day
560,2026-01-10 00:00:00,Delivered,2026-01-10,Same Day
708,2026-01-24 00:00:00,Pending,2026-01-25,Express
333,2026-01-12 00:00:00,Shipped,2026-01-12,Pickup
475,2026-01-26 00:00:00,Delivered,2026-01-26,Pickup
157,2026-01-28 00:00:00,Delivered,2026-01-28,Pickup
430,2026-01-05 00:00:00,Delivered,2026-01-05,Pickup
391,2026-01-01 00:00:00,Delivered,2026-01-01,Same Day
375,2026-01-28 00:00:00,Out for Delivery,2026-01-28,Pickup
608,2026-01-01 00:00:00,Shipped,2026-01-03,Express
484,2026-01-06 00:00:00,Confirmed,2026-01-10,Standard
510,2026-01-05 00:00:00,Confirmed,2026-01-06,Express
234,2026-01-13 00:00:00,Pending,2026-01-13,Same Day
444,2026-01-07 00:00:00,Shipped,2026-01-07,Pickup
993,2026-01-14 00:00:00,Delivered,2026-01-18,Express
976,2026-01-22 00:00:00,Pending,2026-01-23,Standard
145,2026-01-11 00:00:00,Delivered,2026-01-11,Same Day
823,2026-01-08 00:00:00,Shipped,2026-01-08,Pickup
647,2026-01-07 00:00:00,Shipped,2026-01-10,Standard
701,2026-01-06 00:00:00,Confirmed,2026-01-06,Same Day
133,2026-01-20 00:00:00,Shipped,2026-01-25,Standard
827,2026-01-17 00:00:00,Confirmed,2026-01-17,Same Day
579,2026-01-23 00:00:00,Delivered,2026-01-23,Same Day
379,2026-01-16 00:00:00,Pending,2026-01-16,Pickup
705,2026-01-14 00:00:00,Confirmed,2026-01-14,Same Day
650,2026-01-08 00:00:00,Delivered,2026-01-08,Same Day
592,2026-01-16 00:00:00,Delivered,2026-01-16,Same Day
989,2026-01-26 00:00:00,Confirmed,2026-01-28,Express
625,2026-01-11 00:00:00,Delivered,2026-01-16,Express
577,2026-01-08 00:00:00,Delivered,2026-01-12,Express
524,2026-01-16 00:00:00,Delivered,2026-01-16,Same Day
330,2026-01-04 00:00:00,Confirmed,2026-01-09,Express
618,2026-01-03 00:00:00,Shipped,2026-01-03,Pickup
399,2026-01-24 00:00:00,Confirmed,2026-01-24,Pickup
729,2026-01-25 00:00:00,Pending,2026-01-25,Same Day
253,2026-01-05 00:00:00,Confirmed,2026-01-09,Standard
365,2026-01-08 00:00:00,Out for Delivery,2026-01-08,Same Day
980,2026-01-27 00:00:00,Out for Delivery,2026-01-30,Express
620,2026-01-11 00:00:00,Shipped,2026-01-11,Same Day
620,2026-01-18 00:00:00,Confirmed,2026-01-23,Express
537,2026-01-04 00:00:00,Confirmed,2026-01-06,Standard
434,2026-01-26 00:00:00,Shipped,2026-01-30,Express
268,2026-01-23 00:00:00,Delivered,2026-01-26,Standard
668,2026-01-07 00:00:00,Pending,2026-01-08,Standard
477,2026-01-21 00:00:00,Delivered,2026-01-24,Standard
641,2026-01-25 00:00:00,Delivered,2026-01-29,Express
777,2026-01-13 00:00:00,Out for Delivery,2026-01-13,Pickup
467,2026-01-11 00:00:00,Pending,2026-01-11,Same Day
292,2026-01-09 00:00:00,Pending,2026-01-09,Pickup
980,2026-01-06 00:00:00,Out for Delivery,2026-01-06,Same Day
566,2026-01-01 00:00:00,Pending,2026-01-01,Same Day
852,2026-01-16 00:00:00,Confirmed,2026-01-16,Same Day
662,2026-02-24 00:00:00,Confirmed,2026-02-28,Standard
628,2026-02-11 00:00:00,Confirmed,2026-02-11,Same Day
332,2026-02-27 00:00:00,Delivered,2026-02-27,Same Day
58,2026-02-19 00:00:00,Delivered,2026-02-24,Standard
66,2026-02-24 00:00:00,Delivered,2026-02-28,Express
168,2026-02-03 00:00:00,Pending,2026-02-08,Standard
996,2026-02-23 00:00:00,Confirmed,2026-02-23,Same Day
352,2026-02-12 00:00:00,Confirmed,2026-02-12,Pickup
559,2026-02-25 00:00:00,Pending,2026-02-25,Pickup
712,2026-02-02 00:00:00,Shipped,2026-02-02,Pickup
460,2026-02-05 00:00:00,Shipped,2026-02-07,Standard
233,2026-02-06 00:00:00,Pending,2026-02-06,Same Day
659,2026-02-08 00:00:00,Pending,2026-02-09,Standard
44,2026-02-27 00:00:00,Delivered,2026-02-27,Pickup
978,2026-02-02 00:00:00,Confirmed,2026-02-04,Express
331,2026-02-28 00:00:00,Pending,2026-02-28,Same Day
20,2026-02-13 00:00:00,Delivered,2026-02-13,Pickup
25,2026-02-17 00:00:00,Delivered,2026-02-17,Pickup
564,2026-02-22 00:00:00,Delivered,2026-02-22,Pickup
236,2026-02-03 00:00:00,Pending,2026-02-05,Standard
719,2026-02-19 00:00:00,Shipped,2026-02-19,Same Day
522,2026-02-03 00:00:00,Out for Delivery,2026-02-03,Same Day
550,2026-02-27 00:00:00,Pending,2026-03-01,Express
273,2026-02-01 00:00:00,Delivered,2026-02-01,Same Day
164,2026-02-18 00:00:00,Confirmed,2026-02-18,Pickup
343,2026-02-27 00:00:00,Confirmed,2026-02-27,Same Day
403,2026-02-07 00:00:00,Confirmed,2026-02-07,Same Day
30,2026-02-04 00:00:00,Delivered,2026-02-04,Pickup
210,2026-02-15 00:00:00,Out for Delivery,2026-02-15,Pickup
824,2026-02-06 00:00:00,Pending,2026-02-06,Pickup
778,2026-02-04 00:00:00,Delivered,2026-02-06,Express
853,2026-02-19 00:00:00,Delivered,2026-02-19,Same Day
370,2026-02-23 00:00:00,Delivered,2026-02-23,Same Day
912,2026-02-15 00:00:00,Pending,2026-02-20,Express
13,2026-02-27 00:00:00,Confirmed,2026-03-02,Standard
212,2026-02-07 00:00:00,Delivered,2026-02-07,Same Day
738,2026-02-16 00:00:00,Delivered,2026-02-16,Pickup
617,2026-02-11 00:00:00,Shipped,2026-02-11,Pickup
492,2026-02-25 00:00:00,Pending,2026-02-25,Pickup
632,2026-02-18 00:00:00,Out for Delivery,2026-02-19,Express
52,2026-02-04 00:00:00,Delivered,2026-02-09,Standard
953,2026-02-28 00:00:00,Pending,2026-02-28,Same Day
747,2026-02-01 00:00:00,Confirmed,2026-02-01,Pickup
377,2026-02-19 00:00:00,Cancelled,2026-02-20,Standard
760,2026-02-07 00:00:00,Out for Delivery,2026-02-07,Pickup
670,2026-02-12 00:00:00,Pending,2026-02-12,Pickup
310,2026-02-01 00:00:00,Confirmed,2026-02-02,Standard
942,2026-02-05 00:00:00,Confirmed,2026-02-06,Express
179,2026-02-21 00:00:00,Delivered,2026-02-25,Standard
891,2026-02-01 00:00:00,Pending,2026-02-05,Express
277,2026-02-19 00:00:00,Delivered,2026-02-19,Same Day
65,2026-02-01 00:00:00,Delivered,2026-02-01,Pickup
408,2026-02-24 00:00:00,Delivered,2026-02-25,Express
443,2026-02-22 00:00:00,Confirmed,2026-02-26,Standard
591,2026-02-27 00:00:00,Shipped,2026-02-28,Express
727,2026-02-02 00:00:00,Delivered,2026-02-02,Same Day
25,2026-02-10 00:00:00,Delivered,2026-02-13,Express
707,2026-02-22 00:00:00,Confirmed,2026-02-24,Express
856,2026-02-15 00:00:00,Delivered,2026-02-20,Standard
811,2026-02-28 00:00:00,Shipped,2026-02-28,Pickup
373,2026-02-08 00:00:00,Delivered,2026-02-11,Standard
841,2026-02-03 00:00:00,Out for Delivery,2026-02-03,Pickup
675,2026-02-16 00:00:00,Shipped,2026-02-16,Same Day
753,2026-02-12 00:00:00,Delivered,2026-02-15,Express
412,2026-02-21 00:00:00,Confirmed,2026-02-26,Express
786,2026-02-12 00:00:00,Shipped,2026-02-12,Same Day
692,2026-02-10 00:00:00,Pending,2026-02-10,Pickup
89,2026-02-18 00:00:00,Shipped,2026-02-18,Pickup
947,2026-02-20 00:00:00,Confirmed,2026-02-23,Express
772,2026-02-12 00:00:00,Out for Delivery,2026-02-12,Pickup
352,2026-02-18 00:00:00,Delivered,2026-02-19,Express
350,2026-02-17 00:00:00,Delivered,2026-02-22,Express
143,2026-02-18 00:00:00,Out for Delivery,2026-02-23,Express
84,2026-02-27 00:00:00,Delivered,2026-02-27,Pickup
558,2026-02-27 00:00:00,Shipped,2026-03-04,Standard
957,2026-02-02 00:00:00,Shipped,2026-02-05,Standard
701,2026-02-18 00:00:00,Delivered,2026-02-20,Express
120,2026-02-23 00:00:00,Delivered,2026-02-23,Pickup
562,2026-02-11 00:00:00,Delivered,2026-02-11,Same Day
225,2026-02-13 00:00:00,Shipped,2026-02-13,Pickup
705,2026-02-19 00:00:00,Confirmed,2026-02-19,Pickup
160,2026-02-25 00:00:00,Returned,2026-03-01,Express
915,2026-02-27 00:00:00,Delivered,2026-02-28,Express
148,2026-02-26 00:00:00,Cancelled,2026-03-02,Standard
248,2026-02-03 00:00:00,Delivered,2026-02-03,Same Day
654,2026-02-25 00:00:00,Shipped,2026-03-02,Express
17,2026-02-04 00:00:00,Cancelled,2026-02-05,Express
848,2026-02-01 00:00:00,Confirmed,2026-02-03,Express
464,2026-02-25 00:00:00,Delivered,2026-02-28,Standard
678,2026-02-04 00:00:00,Shipped,2026-02-04,Same Day
352,2026-02-13 00:00:00,Pending,2026-02-13,Same Day
439,2026-02-13 00:00:00,Confirmed,2026-02-13,Same Day
651,2026-02-20 00:00:00,Out for Delivery,2026-02-20,Pickup
